year,month,average_temp,month_name
2004,9,2.4170842824601366,September
2004,10,3.600185328185328,October
2004,11,5.380477415666095,November
2004,12,-1.1574168744804654,December
2005,1,8.829487420960582,January
2005,2,11.292669666291713,February
2005,3,1.6775117813383602,March
2005,4,4.834706152433425,April
2005,5,-5.968004880149275,May
2005,6,2.3386102838991465,June
2005,7,2.91440067624683,July
2005,8,2.6788305813164444,August
2005,9,6.681927799607073,September
2005,10,8.893410306955786,October
2005,11,5.229711972598475,November
2005,12,0.6616055756324213,December
2006,1,14.110106129917657,January
2006,2,-1.6517404708520178,February
2006,3,3.948247734138973,March
2006,4,10.037665274023102,April
2006,5,6.973760638297873,May
2006,6,4.556006651317473,June
2006,7,6.386566149297857,July
2006,8,4.858087709392057,August
2006,9,-4.525244444444445,September
2006,10,-0.1142102908277405,October
2006,11,3.158732102486812,November
2006,12,10.597262295081968,December
2007,1,5.1403492301915135,January
2007,2,-9.953335555555556,February
2007,3,8.795982748594689,March
2007,4,-9.173147776860478,April
2007,5,4.411706114398422,May
2007,6,1.7033452274754683,June
2007,7,3.7770081175106305,July
2007,8,4.947447713576746,August
2007,9,5.31013074269112,September
2007,10,11.730008381226053,October
2007,11,3.7077609727164886,November
2007,12,10.741304347826086,December
2008,1,10.413323593864133,January
2008,2,2.279527126099707,February
2008,3,-7.380745501285347,March
2008,4,-3.7104384531590413,April
2008,5,-0.573792186541215,May
2008,6,1.9303052821851776,June
2008,7,-2.118683351468988,July
2008,8,0.08503473830477074,August
2008,9,4.876538807311957,September
2008,10,-2.4288733723344027,October
2008,11,5.930821707803158,November
2008,12,-3.7471045418950664,December
2009,1,-0.8898087833578484,January
2009,2,7.098882491494374,February
2009,3,-7.653173880030372,March
2009,4,2.9112702960840493,April
2009,5,3.3175210694565536,May
2009,6,-1.7819443507588533,June
2009,7,-2.914926686217009,July
2009,8,-2.0183467230443974,August
2009,9,0.4027666792310592,September
2009,10,-8.250390479153703,October
2009,11,10.364398916356247,November
2009,12,-10.112724458204333,December
2010,1,-8.245165823496347,January
2010,2,-3.9016406249999998,February
2010,3,5.211661687826736,March
2010,4,6.601997175141243,April
2010,5,-0.09463931718061674,May
2010,6,3.797672762271415,June
2010,7,2.354075597026728,July
2010,8,3.3906548018804568,August
2010,9,5.662573243187872,September
2010,10,8.553426944226239,October
2010,11,-2.1914604125083166,November
2010,12,-2.1527063339731285,December
2011,1,-1.6189463220675944,January
2011,2,-7.541929512281951,February
2011,3,3.679955767267778,March
2011,4,5.945629673356946,April
2011,5,-1.5901622453813358,May
2011,6,3.828898773006135,June
2011,7,5.563969329529244,July
2011,8,6.425843023255814,August
2011,9,5.2238754985260965,September
2011,10,5.8971073044602464,October
2011,11,3.85830755634114,November
2011,12,7.3589017341040455,December
2012,1,13.353151759695136,January
2012,2,10.033849716932579,February
2012,3,17.19350740664892,March
2012,4,10.952488719194724,April
2012,5,8.267487634316902,May
2012,6,4.8029579959514175,June
2012,7,6.4657339603627815,July
2012,8,3.566182813536828,August
2012,9,5.077637077769049,September
2012,10,-2.2433237336947314,October
2012,11,8.403241360089186,November
2012,12,13.25104199066874,December
2013,1,6.5419790690409245,January
2013,2,-3.9593956043956045,February
2013,3,-1.8144093057070159,March
2013,4,-6.672034241245136,April
2013,5,-4.662054292002934,May
2013,6,3.5751031687546058,June
2013,7,-0.14686567164179104,July
2013,8,1.4243462717058222,August
2013,9,6.952254594962559,September
2013,10,2.983874941887494,October
2013,11,-10.437158974358974,November
2013,12,-4.46250128490663,December
